UserID,Name,Surname,Gender,Race,Province,Social Media Handle,Channel2,RecordDate2,Duration 2
97,Lucas,Woolard,male,coloured,Free State,@Lucas 23,SuperSport Blitz,04/02/2016 4:40,2026-04-10T00:03:12.000Z
132,Carter,Wigfall,male,black,Gauteng,@Carter 3,Boomerang,11/01/2016 20:55,2026-04-10T00:11:51.000Z
212,Kyle,Martello,male,black,Gauteng,@Kyle 6,CNN,06/01/2016 9:48,2026-04-10T00:06:01.000Z
249,Markus,Wigfall,male,black,Gauteng,@Markus 19,ICC Cricket World Cup 2011,15/03/2016 15:33,2026-04-10T00:09:20.000Z
649,Bret,Gettys,male,black,Mpumalanga,@Bret 31,Channel O,11/01/2016 6:59,2026-04-10T00:05:00.000Z
850,Romeo,Crotty,male,coloured,Western Cape,@Romeo 37,E! Entertainment,06/03/2016 0:08,2026-04-10T00:07:20.000Z
991,Lane,Paradis,male,black,Gauteng,@Lane 11,Cartoon Network,20/01/2016 13:43,2026-04-10T00:00:09.000Z
1373,Raymundo,Mina,male,white,Kwazulu Natal,@Raymundo 43,Cartoon Network,28/02/2016 10:38,2026-04-10T00:00:00.000Z
1445,Kip,Luthy,male,coloured,Northern Cape,@Kip 14,CNN,06/03/2016 15:47,2026-04-10T00:00:33.000Z
3871,None,None,None,None,None,None,ICC Cricket World Cup 2011,30/03/2016 17:02,2026-04-10T00:01:10.000Z
9194,Shane,Mina,male,coloured,Western Cape,@Shane 2,DStv Events 1,19/01/2016 18:55,2026-04-10T00:00:45.000Z
11883,None,None,None,None,None,None,DStv Events 1,08/01/2016 6:12,2026-04-10T00:01:55.000Z
18031,Lillie,Langenfeld,female,black,Gauteng,@Lillie 46,CNN,06/01/2016 23:00,2026-04-10T00:24:51.000Z
18072,Art,Creager,male,white,Western Cape,@Art 40,Cartoon Network,16/01/2016 17:09,2026-04-10T00:04:02.000Z
18136,Stephen,Sytsma,male,coloured,Gauteng,@Stephen 15,Cartoon Network,22/01/2016 10:26,2026-04-10T00:00:18.000Z
20315,None,None,None,None,None,None,E! Entertainment,30/03/2016 18:07,2026-04-10T00:05:28.000Z
23925,Art,Pool,male,black,Kwazulu Natal,@Art 40,DStv Events 1,02/01/2016 7:18,2026-04-10T00:01:35.000Z
24110,Adela,Vital,female,black,Eastern Cape,@Adela 20,Africa Magic,26/01/2016 15:02,2026-04-10T00:01:39.000Z
27318,None,None,None,None,None,None,ICC Cricket World Cup 2011,26/03/2016 18:48,2026-04-10T00:02:00.000Z
28115,Valentine,Sieren,male,black,Limpopo,@Valentine 47,SuperSport Blitz,30/01/2016 05:18,2026-04-10T00:01:16.000Z
28240,Michel,Deblois,male,None,Gauteng,@Michel 20,Cartoon Network,20/03/2016 15:30,2026-04-10T00:00:47.000Z
31162,None,None,None,None,None,None,Supersport Live Events,19/03/2016 17:19,2026-04-10T00:09:36.000Z
33103,Kip,Nicholls,male,coloured,Gauteng,@Kip 14,E! Entertainment,06/01/2016 3:41,2026-04-10T00:03:08.000Z
33773,None,None,None,None,None,None,ICC Cricket World Cup 2011,12/03/2016 8:50,2026-04-10T00:00:08.000Z
36057,Efren,Styer,male,black,Eastern Cape,@Efren 13,Africa Magic,29/03/2016 09:11,2026-04-10T00:04:00.000Z
39353,None,None,None,None,None,None,Trace TV,05/01/2016 1:54,2026-04-10T00:03:30.000Z
42284,Wilton,Bilyeu,male,coloured,Northern Cape,@Wilton 41,MK,16/01/2016 21:07,2026-04-10T00:01:39.000Z
45769,None,None,None,None,None,None,ICC Cricket World Cup 2011,12/03/2016 11:28,2026-04-10T00:01:44.000Z
51888,Katharina,Condie,female,black,Mpumalanga,@Katharina 13,Cartoon Network,08/01/2016 6:05,2026-04-10T00:00:34.000Z
56067,Eli,Shkreli,male,black,Kwazulu Natal,@Eli 29,CNN,22/01/2016 16:02,2026-04-10T00:00:22.000Z
56830,None,None,None,None,None,None,CNN,01/01/2016 17:03,2026-04-10T00:03:16.000Z
58907,None,None,None,None,None,None,Cartoon Network,09/01/2016 8:01,2026-04-10T00:01:23.000Z
60711,Bernardo,Gettys,male,black,Gauteng,@Bernardo 32,Channel O,04/01/2016 7:02,2026-04-10T00:00:30.000Z
61198,None,None,None,None,None,None,Trace TV,11/01/2016 17:42,2026-04-10T00:00:39.000Z
63454,None,None,None,None,None,None,CNN,04/01/2016 4:10,2026-04-10T00:13:20.000Z
65180,None,None,None,None,None,None,Africa Magic,22/01/2016 09:35,2026-04-10T00:00:17.000Z
65192,None,None,None,None,None,None,DStv Events 1,20/01/2016 00:05,2026-04-10T00:00:45.000Z
67073,None,None,None,None,None,None,Channel O,04/01/2016 10:23,2026-04-10T00:00:09.000Z
67155,None,None,None,None,None,None,SuperSport Blitz,10/01/2016 11:37,2026-04-10T00:00:14.000Z
67584,Hollis,Caves,male,white,Western Cape,@Hollis 38,Supersport Live Events,18/01/2016 15:04,2026-04-10T00:05:58.000Z
69030,Stacy,Tancredi,male,black,Free State,@Stacy 27,Supersport Live Events,06/03/2016 13:32,2026-04-10T00:03:18.000Z
